text,span,label,ordinal,ac,ot
"[""The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .""]",wait,negative,0,service general,long
"[""The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .""]",atmosphere,negative,0,ambience general,raucous
"[""Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !""]",food,positive,0,food quality,GREAT
['Food is excellent .'],Food,positive,0,food quality,excellent
['As always we had a great glass of wine while we waited .'],glass of wine,positive,0,drinks quality,great
['I can not imagine a friendlier staff working in a restaurant .'],staff,positive,0,service general,friendlier
"[""Also , specify if you like your food spicy- its rather bland if you do n't .""]",food,negative,0,food quality,bland
['Big Wong gets big Ups for a fine establishment .'],Big Wong,positive,0,restaurant general,big Ups
['Big Wong gets big Ups for a fine establishment .'],Big Wong,positive,0,restaurant general,fine
['We all agreed that mare is one of the best seafood restaurants in New York .'],mare,positive,0,restaurant general,best
['The place was nice and calm .'],place,positive,0,ambience general,nice
['The place was nice and calm .'],place,positive,0,ambience general,calm
['Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .'],service,positive,0,service general,great
['Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .'],food,positive,0,food quality,great
['Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .'],food,positive,0,food prices,great
['Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .'],wines,negative,0,drinks quality,above average
['Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .'],wines,negative,0,drinks prices,above average
"['Kind , attentive wait staff .']",wait staff,positive,0,service general,Kind
"['Kind , attentive wait staff .']",wait staff,positive,0,service general,attentive
['All of the pizzas are terrific and the price is even better !'],pizzas,positive,0,food quality,terrific
['The staff was the friendliest that have seen in New York .'],staff,positive,0,service general,friendliest
['Drinks way over priced .'],Drinks,negative,0,drinks prices,over priced
['The sushi was awful !'],sushi,negative,0,food quality,awful
"['The sandwiches are dry , tasteless and way overpriced .']",sandwiches,negative,0,food quality,dry
"['The sandwiches are dry , tasteless and way overpriced .']",sandwiches,negative,0,food quality,tasteless
"['The sandwiches are dry , tasteless and way overpriced .']",sandwiches,negative,0,food prices,overpriced
"['I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .']",somosas,positive,0,food quality,like
"['I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .']",chai,positive,0,food quality,like
"['I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .']",chole,positive,0,food quality,like
"['I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .']",dhosas,negative,0,food quality,dissapointing
"['I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .']",dhal,negative,0,food quality,dissapointing
"[""We wo n't go to this place again for a good meal .""]",meal,negative,0,food quality,good
['Taxan delicious !'],Taxan,positive,0,food quality,delicious
['The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .'],hanger steak,negative,0,food quality,rubber
['The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .'],tuna,negative,0,food quality,flavorless
['I have been to Casimir over 5 times and I have always had a great time there .'],Casimir,positive,0,restaurant general,great time
['This place is great .'],place,positive,0,restaurant general,great
['The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal'],meal,positive,0,food quality,enjoy
['The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal'],meal,positive,0,food quality,great
['The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal'],restaurant,negative,0,ambience general,noisy
"[""Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .""]",bagels,negative,0,food quality,fine
"[""Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .""]",bagels,negative,0,food quality,overcooked
"[""Have eaten at Ginger House several times , and it 's always good .""]",Ginger House,positive,0,restaurant general,good
"['I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !']",people,negative,0,service general,evil
"['I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !']",people,negative,0,service general,incompetent
"['I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !']",Cafe Noir,positive,0,restaurant general,like
"['A cool bar with great food , and tons of excellent beer .']",bar,positive,0,ambience general,cool
"['A cool bar with great food , and tons of excellent beer .']",food,positive,0,food quality,great
"['A cool bar with great food , and tons of excellent beer .']",beer,positive,0,drinks quality,excellent
"['A cool bar with great food , and tons of excellent beer .']",beer,positive,0,drinks style_options,excellent
"[""Do n't dine at Tamarind for the vegetarian dishes , they are simply not up to par with the non-veg selections .""]",vegetarian dishes,negative,0,food quality,not up to par
['Not the typical NYC gimmick theme restaurant .'],restaurant,positive,0,ambience general,Not the typical
['Ravioli was good ... but I have to say that I found everything a bit overpriced .'],Ravioli,positive,0,food quality,good
"['Other guests enjoyed pizza , santa fe chopped salad and fish and chips .']",pizza,positive,0,food quality,enjoyed
"['Other guests enjoyed pizza , santa fe chopped salad and fish and chips .']",santa fe chopped salad,positive,0,food quality,enjoyed
"['Other guests enjoyed pizza , santa fe chopped salad and fish and chips .']",fish and chips,positive,0,food quality,enjoyed
"['They have it all -- great price , food , and service .']",food,positive,0,food quality,great
"['They have it all -- great price , food , and service .']",service,positive,0,service general,great
"['Most of the servers are very attentive , friendly and quite attractive .']",servers,positive,0,service general,attentive
"['Most of the servers are very attentive , friendly and quite attractive .']",servers,positive,0,service general,friendly
"['Most of the servers are very attentive , friendly and quite attractive .']",servers,positive,0,service general,attractive
"['Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .']",open kitchen,positive,0,ambience general,charm
"['Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .']",restaurant,negative,0,ambience general,warm
['Try green curry with vegetables .'],green curry with vegetables,positive,0,food quality,Try
['The service is good and the resturant is clean .'],service,positive,0,service general,good
['The service is good and the resturant is clean .'],resturant,positive,0,ambience general,clean
['What a great place !'],place,positive,0,restaurant general,great
"['Great friendly service , Fast seating , Fast Delivery , Excellent sushi .']",service,positive,0,service general,Great friendly
"['Great friendly service , Fast seating , Fast Delivery , Excellent sushi .']",seating,positive,0,service general,Fast
"['Great friendly service , Fast seating , Fast Delivery , Excellent sushi .']",Delivery,positive,0,service general,Fast
"['Great friendly service , Fast seating , Fast Delivery , Excellent sushi .']",sushi,positive,0,food quality,Excellent
"['The service is excellent , the decor is great , and the food is delicious and comes in large portions .']",service,positive,0,service general,excellent
"['The service is excellent , the decor is great , and the food is delicious and comes in large portions .']",decor,positive,0,ambience general,great
"['The service is excellent , the decor is great , and the food is delicious and comes in large portions .']",food,positive,0,food quality,delicious
"['The service is excellent , the decor is great , and the food is delicious and comes in large portions .']",portions,positive,0,food style_options,large
"['The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .']",restaurant,positive,0,ambience general,Family feel
"['The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .']",portions,positive,0,food style_options,enormous
"['The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine .']",veal,positive,0,food style_options,have single-handedly solved third world famine
"['The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .']",food,positive,0,food quality,average to above-average
"['The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .']",French Onion soup,negative,0,food quality,not overly impressive
"['The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .']",desserts,negative,0,food quality,not brilliant
"[""I 'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much ... and we 're repeat customers .""]",Mizu,positive,0,restaurant general,enjoy
['You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .'],crabmeat lasagna,positive,0,food quality,out of this world
['Truly the mark of an attentive waiter .'],waiter,positive,0,service general,attentive
"['The first time the sushi was outstanding , the second time it was a little bland .']",sushi,positive,0,food quality,outstanding
"['The first time the sushi was outstanding , the second time it was a little bland .']",sushi,negative,0,food quality,bland
['The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .'],restaurant,positive,0,location general,beautiful
['The food is excellent !'],food,positive,0,food quality,excellent
['Not impressed with the food .'],food,negative,0,food quality,Not impressed
"[""I ca n't wait for summer , when they serve outside on their gigantic patio .""]",patio,positive,0,ambience general,gigantic
"[""This place , which is only a few months old , is perhaps Queens ' biggest secret !""]",place,positive,0,restaurant general,Queens ' biggest secret
['but the service was a bit slow .'],service,negative,0,service general,slow
['The food was authentic .'],food,positive,0,food quality,authentic
"['The Steak Tartare is a great bet , they fix it for you at the table .']",Steak Tartare,positive,0,food style_options,great
"['stick with the chicken , beef , and lamb dishes .']",chicken,positive,0,food quality,stick
"['stick with the chicken , beef , and lamb dishes .']",beef,positive,0,food quality,stick
"['stick with the chicken , beef , and lamb dishes .']",lamb dishes,positive,0,food quality,stick
['This little place definitely exceeded my expectations and you sure get a lot of food for your money .'],food,positive,0,food style_options,lot
['This little place definitely exceeded my expectations and you sure get a lot of food for your money .'],place,positive,0,restaurant general,exceeded my expectations
['This little place definitely exceeded my expectations and you sure get a lot of food for your money .'],food,positive,0,food prices,lot
"['Great vibe , lots of people .']",vibe,positive,0,ambience general,Great
['The wine list is also really nice .'],wine list,positive,0,drinks style_options,nice
['The exotic food is beautifully presented and is a delight in delicious combinations .'],exotic food,positive,0,food style_options,beautifully presented
['The exotic food is beautifully presented and is a delight in delicious combinations .'],exotic food,positive,0,food quality,delight
['The cream cheeses are out of this world and I love that coffee ! !'],cream cheeses,positive,0,food quality,out of this world
['The cream cheeses are out of this world and I love that coffee ! !'],coffee,positive,0,drinks quality,love
['The hostess and the waitress were incredibly rude and did everything they could to rush us out .'],hostess,negative,0,service general,rude
['The hostess and the waitress were incredibly rude and did everything they could to rush us out .'],waitress,negative,0,service general,rude
"['I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .']",jelly fish,positive,0,food quality,recommend
"['I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .']",drunken chicken,positive,0,food quality,recommend
"['I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .']",soupy dumplings,positive,0,food quality,recommend
"['I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .']",stir fry blue crab,positive,0,food quality,recommend
['We even had a visit from the Manager who wanted to make sure we were enjoying ourselves .'],Manager,positive,0,service general,enjoying
['honestly the worst sushi my husband and i had in our entire lives .'],sushi,negative,0,food quality,worst
"[""The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .""]",atmosphere,negative,0,ambience general,is n't the greatest
"['Be sure to try the seasonal , and always delicious , specials .']",specials,positive,0,food quality,try
"['Be sure to try the seasonal , and always delicious , specials .']",specials,positive,0,food quality,seasonal
"['Be sure to try the seasonal , and always delicious , specials .']",specials,positive,0,food quality,delicious
"['With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .']",food,neutral,0,food quality,decent
"['With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .']",food,negative,0,food quality,not great
"['With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .']",lemon salad,negative,0,food quality,exception
"['Seating is always prompt , though the restaurant does fill up in the evening .']",Seating,positive,0,service general,prompt
['Service is top notch .'],Service,positive,0,service general,top notch
['The entertainment was great they have shows that go on through out the dinner .'],entertainment,positive,0,ambience general,great
['If you like spicy food get the chicken vindaloo .'],chicken vindaloo,positive,0,food quality,get
['Food was good not great not worth the wait or another visit'],Food,neutral,0,food quality,good not great not worth the wait or another visit
['I thought this place was totally overrated .'],place,negative,0,restaurant general,overrated
"[""Have frequented 'ino for several years and the food remains excellent .""]",food,positive,0,food quality,excellent
"['Cute place , nice wait staff but would never go there again .']",wait staff,positive,0,service general,nice
"['Cute place , nice wait staff but would never go there again .']",place,positive,0,ambience general,Cute
"['Cute place , nice wait staff but would never go there again .']",place,negative,0,restaurant general,never go
"['We have been to this place many times , and always have great food , wine , and service .']",food,positive,0,food quality,great
"['We have been to this place many times , and always have great food , wine , and service .']",wine,positive,0,drinks quality,great
"['We have been to this place many times , and always have great food , wine , and service .']",service,positive,0,service general,great
['You can not go wrong with this place .'],place,positive,0,restaurant general,wrong
"['Please take my advice , go and try this place .']",place,positive,0,restaurant general,go and try
['This place is so much fun .'],place,positive,0,ambience general,fun
['The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .'],Grilled Chicken special with Edamame Puree,positive,0,food quality,enjoyed
"['To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .']",Service,neutral,0,service general,varies
['Love Pizza 33 ...'],Pizza 33,positive,0,restaurant general,Love
['The food was bland oily .'],food,negative,0,food quality,bland oily
['The food was lousy - too sweet or too salty and the portions tiny .'],food,negative,0,food quality,lousy
['The food was lousy - too sweet or too salty and the portions tiny .'],food,negative,0,food quality,too sweet
['The food was lousy - too sweet or too salty and the portions tiny .'],food,negative,0,food quality,too salty
['The food was lousy - too sweet or too salty and the portions tiny .'],portions,negative,0,food style_options,tiny
"['Two complaints -- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .']",appetizer selection,negative,0,food style_options,complaints
['We could have made a meal of the yummy dumplings from the dumpling menu .'],dumplings,positive,0,food quality,yummy
"[""Hurley 's is like Cheers where everyone knows your name and they are ACTUALLY glad you came .""]",Hurley 's,positive,0,service general,glad
"['My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .']",staff,positive,0,service general,enjoy
"['My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .']",staff,positive,0,service general,young
